,TLT.OPEN,TLT.HIGH,TLT.LOW,TLT.CLOSE
2009-02-04,102.75,102.87,101.62,102.52
2009-02-05,103.24,103.88,102.206,102.61
2009-02-06,102.25,102.86,101.9,102.29
2009-02-09,101.69,102.67,101.06,102.62
2009-02-10,104.11,104.96,103.45,104.85
2009-02-11,105.71,106.5,105.53,106.21
2009-02-12,105.98,106.18,104.74,105.21
2009-02-13,103.95,103.95,102.23,102.41
2009-02-17,104.55,105.66,104.35,105.6
2009-02-18,106.06,106.56,104.3,104.7
2009-02-19,102.69,104.06,102.23,102.92
2009-02-20,104.27,105.16,103.3,103.92
2009-02-23,103.6,104.88,103.17,104.88
2009-02-24,105.7,106.68,104.77,104.77
2009-02-25,105.24,105.49,103.03,103.56
2009-02-26,102.87,103.26,101.98,102.47
2009-02-27,102.57,103.01,101.21,101.88
2009-03-02,102.22,103.28,102.09,103.28
2009-03-03,102.23,103.57,101.81,102.59
2009-03-04,101.49,102.25,101.16,102.12
2009-03-05,104.02,105.44,103.44,104.96
2009-03-06,104.26,105.97,104.09,104.26
2009-03-09,104.51,104.55,103.12,103.65
2009-03-10,102.43,102.75,101.51,101.66
2009-03-11,101.29,102.76,100.93,102.76
2009-03-12,102.66,103.97,102.31,103.25
2009-03-13,102.75,103.88,102.33,102.73
2009-03-16,100.82,101.45,100.5,101.11
2009-03-17,101.72,102.33,100.3876,100.56
2009-03-18,101.12,108.07,100.9,104.37
2009-03-19,105.62,105.66,104.22,104.5
2009-03-20,104.62,105,103.7801,103.92
2009-03-23,104.29,104.42,102.97,103.02
2009-03-24,102.19,105.16,101.9301,104
2009-03-25,103.29,103.72,102.31,102.6
2009-03-26,102.44,104.06,102.16,103.79
2009-03-27,104.15,104.93,103.56,104.56
2009-03-30,105.44,105.87,103.94,104.96
2009-03-31,105.04,105.8,105,105.71
2009-04-01,106.12,106.56,105.5273,106.37
2009-04-02,105.89,106.07,104.84,105.07
2009-04-03,104.91,105.16,102.66,102.92
2009-04-06,103.54,103.59,102.22,102.48
2009-04-07,102.54,103.31,102.48,102.74
2009-04-08,103.07,103.86,102.95,103.65
2009-04-09,102.47,103.18,101.98,102.35
2009-04-13,102.96,103.51,102.93,103.29
2009-04-14,103.25,104.21,102.93,103.83
2009-04-15,104.13,104.3,102.88,103.65
2009-04-16,102.85,103.45,102.78,102.83
2009-04-17,102.47,102.71,101.37,101.7
2009-04-20,102.63,103.4025,102.45,103.24
2009-04-21,104.04,104.21,102.22,102.22
2009-04-22,102.45,102.56,101.11,101.6
2009-04-23,101.35,101.75,100.94,101.59
2009-04-24,100.79,100.98,100.1,100.57
2009-04-27,101.07,101.19,100.06,101
2009-04-28,101.5,101.58,99.09,99.35
2009-04-29,99.67,100.08,98.15,98.47
2009-04-30,97.98,98.36,97.39,98.08
2009-05-01,97.12,97.29,96.57,97.11
2009-05-04,97.36,97.82,96.79,97.43
2009-05-05,97.46,97.83,96.76,97.31
2009-05-06,97.12,98,97,97.08
2009-05-07,95.94,96.7,94.33,94.71
2009-05-08,95.02,95.39,94.645,94.94
2009-05-11,96.05,96.45,95.79,96.29
2009-05-12,96.18,97.02,95.8023,96.64
2009-05-13,97.36,97.93,97.24,97.69
2009-05-14,97.6,98.25,97.3,98.07
2009-05-15,98,98.05,97.46,98.04
2009-05-18,98.01,98.11,96.37,96.52
2009-05-19,96.19,96.47,95.71,96.01
2009-05-20,95.93,97.16,95.83,97.02
2009-05-21,97.55,97.64,94.35,94.58
2009-05-22,93.82,94.49,93.35,93.53
2009-05-26,94.05,94.1,92.12,92.12
2009-05-27,92.24,92.58,90.38,90.492
2009-05-28,91.77,91.98,90.23,91.8
2009-05-29,91.7,94.23,91.64,94.17
2009-06-01,92.34,92.38,90.57,91.09
2009-06-02,91.61,91.77,90.78,91.58
2009-06-03,91.96,92.61,91.33,92.44
2009-06-04,91.43,91.72,90.24,90.53
2009-06-05,89.91,90.9,89.55,89.84
2009-06-08,90.41,90.73,89.48,89.61
2009-06-09,90.19,90.31,89.25,89.6
2009-06-10,88.87,89.43,87.56,88.19
2009-06-11,87.76,89.52,87.69,89.17
2009-06-12,89.42,90.65,89.42,89.97
2009-06-15,90.54,91.15,90.48,90.78
2009-06-16,90.96,92.43,90.8,92.36
2009-06-17,92.45,93.33,91.84,91.84
2009-06-18,91.25,91.58,90.11,90.45
2009-06-19,90.33,91.7,90.21,91.69
2009-06-22,92.44,92.91,92.06,92.58
2009-06-23,92.77,93.81,92.58,93.67
2009-06-24,93.65,94.07,92.66,92.73
2009-06-25,93.22,94.5,92.67,94.43
2009-06-26,94.62,94.9,94.21,94.59
2009-06-29,95.07,95.37,94.58,94.73
2009-06-30,94.19,95.11,93.81,94.57
2009-07-01,93.42,94.09,93.24,94.08
2009-07-02,94.33,94.61,94,94.3
2009-07-06,94.05,94.29,93.39,94.12
2009-07-07,93.62,94.88,93.61,94.75
2009-07-08,95.12,96.81,94.8901,96.5
2009-07-09,95.35,95.73,94.45,95.35
2009-07-10,95.62,96.3326,95.43,96.23
2009-07-13,96.32,96.6,95.56,95.69
2009-07-14,94.76,95.13,93.7,94.1
2009-07-15,92.66,93,91.67,91.68
2009-07-16,92.81,93.18,92.5,92.67
2009-07-17,91.9,92.36,91.24,91.24
2009-07-20,90.85,92.49,90.8,91.72
2009-07-21,91.45,93.7,91.29,93.55
2009-07-22,93.4,93.5257,92.36,92.71
2009-07-23,92.76,92.8,90.57,91.01
2009-07-24,91,91.45,90.77,91.45
2009-07-27,90.23,90.66,89.94,90.4
2009-07-28,90.72,91.82,90.4299,91.2
2009-07-29,92.17,92.29,90.94,91.7
2009-07-30,91.54,93.15,91.23,93
2009-07-31,93.85,94.86,93.28,94.81
2009-08-03,93.81,93.87,92.61,93.06
2009-08-04,93.63,93.72,91.67,92.32
2009-08-05,91.31,92.75,90.87,90.94
2009-08-06,90.9,91.89,90.42,91.25
2009-08-07,90.42,90.93,90.219,90.49
2009-08-10,90.51,91.64,90.41,91.62
2009-08-11,92.39,92.8673,91.99,92.68
2009-08-12,92.95,93.07,91.09,91.69
2009-08-13,91.8,93.15,91.5,92.99
2009-08-14,93.3,94.2,93.21,93.35
2009-08-17,93.95,94.75,93.87,94.73
2009-08-18,94.66,94.7694,94.01,94.18
2009-08-19,95.17,95.37,94.4115,94.96
2009-08-20,95.38,95.87,94.7775,95.74
2009-08-21,95.64,95.73,93.75,93.77
2009-08-24,93.49,95.47,93.46,95.47
2009-08-25,95.37,96.09,94.91,96.01
2009-08-26,96.18,96.55,95.91,96.45
2009-08-27,96.18,96.62,95.73,96.07
2009-08-28,95.44,96.5101,95.31,96.51
2009-08-31,96.36,96.86,95.76,96.6
2009-09-01,95.82,96.5801,95.14,96.06
2009-09-02,96.48,97.66,96.24,97.46
2009-09-03,96.84,97.12,96.55,96.86
2009-09-04,96.44,96.5992,95.06,95.21
2009-09-08,94.48,95.37,94.36,94.54
2009-09-09,93.89,94.43,93.52,94.43
2009-09-10,94.93,96.71,94.91,96.17
2009-09-11,96.82,97.68,96.6,96.7
2009-09-14,96.02,96.6695,95.65,95.74
2009-09-15,95.19,95.77,95.07,95.25
2009-09-16,95.34,95.95,94.6,95.42
2009-09-17,95.69,96.73,95.1703,96.62
2009-09-18,96.2,96.53,95.67,95.76
2009-09-21,96.1,96.49,95.36,95.98
2009-09-22,95.65,96.37,95.5099,96.18
2009-09-23,95.94,96.58,95.2,96.47
2009-09-24,96.5,97.09,96.17,96.75
2009-09-25,97.36,98.06,96.77,97.98
2009-09-28,98.32,98.93,98.11,98.84
2009-09-29,98.32,99.17,98.15,98.75
2009-09-30,98.56,99.13,98.36,98.66
2009-10-01,98.96,100.06,98.8016,99.7
2009-10-02,100.28,100.31,98.88,99.01
2009-10-05,99.47,99.66,98.77,99.02
2009-10-06,98.76,98.8,97.98,98.04
2009-10-07,98.67,99.33,98.6,99.19
2009-10-08,99.71,99.76,97.68,98.15
2009-10-09,97.62,97.71,95.5,95.9
2009-10-12,96.03,96.33,95.6,96.05
2009-10-13,96.62,96.85,96.26,96.55
2009-10-14,95.51,96.1,94.9,95.12
2009-10-15,94.57,95.42,94.37,94.68
2009-10-16,95.19,95.53,94.73,95.45
2009-10-19,95.59,96.21,95.38,96.2
2009-10-20,97.02,97.245,96.5402,96.72
2009-10-21,96.16,96.21,95.51,96.14
