,MDY.OPEN,MDY.HIGH,MDY.LOW,MDY.CLOSE
2012-11-27,180.16,180.97,179.76,180.01
2012-11-28,179.22,181.26,177.94,181.18
2012-11-29,182.32,182.6,181.21,182.42
2012-11-30,182.87,182.87,181.73,182.35
2012-12-03,183.63,183.65,181.5,182.03
2012-12-04,181.94,182.51,181.05,181.91
2012-12-05,182.52,182.98,180.91,182.3
2012-12-06,182.24,183.11,182.01,182.67
2012-12-07,183.33,183.46,182.26,182.91
2012-12-10,182.99,184.11,182.77,184.05
2012-12-11,184.92,185.34,184.3,184.84
2012-12-12,185.45,185.77,184.25,184.55
2012-12-13,184.67,185.06,182.92,183.37
2012-12-14,183.05,183.67,182.74,183
2012-12-17,183.33,184.73,183.16,184.66
2012-12-18,184.95,187.42,184.66,187.2
2012-12-19,187.45,187.82,186.75,186.89
2012-12-20,187.19,188.23,186.63,188.05
2012-12-21,184.77,186.49,184.48,186.49
2012-12-24,185.3,185.87,184.98,185.44
2012-12-26,185.9775,185.978,183.91,184.02
2012-12-27,184.35,184.6,182,183.85
2012-12-28,182.93,183.96,182.48,182.73
2012-12-31,182.41,185.82,182.08,185.71
2013-01-02,190.09,190.86,188.61,190.86
2013-01-03,190.6,191.76,190.15,190.72
2013-01-04,191.38,192.24,190.51,192.05
2013-01-07,191.38,191.84,191,191.52
2013-01-08,191.34,191.8,190.37,191.01
2013-01-09,191.65,192.31,191.49,192.18
2013-01-10,193.2,193.28,191.5,192.58
2013-01-11,192.67,192.75,191.63,192.28
2013-01-14,192.08,193.07,192.01,192.65
2013-01-15,191.67,193.72,191.61,193.59
2013-01-16,193.31,193.57,192.7,193.12
2013-01-17,193.85,195.17,193.74,194.78
2013-01-18,194.83,195.37,194.22,195.19
2013-01-22,195.32,196.83,195.21,196.82
2013-01-23,196.76,197.17,196.462,196.8
2013-01-24,197,198.51,196.84,197.76
2013-01-25,198.78,199.64,197.7331,199.64
2013-01-28,199.9,199.99,198.37,199.34
2013-01-29,199.28,199.4,198.43,199.24
2013-01-30,199.4,199.44,197.827,198.02
2013-01-31,198.01,199.252,197.89,198.86
2013-02-01,199.69,200.8152,199.24,200.48
2013-02-04,199.39,200.17,198.03,198.66
2013-02-05,199.48,200.36,199.0599,199.86
2013-02-06,199.4,200.97,199.29,200.97
2013-02-07,200.95,201.23,199.29,200.64
2013-02-08,201.02,201.9,200.9,201.9
2013-02-11,201.81,201.83,200.92,201.4
2013-02-12,201.39,202.5,201.38,202.37
2013-02-13,202.52,203.14,202,202.9
2013-02-14,202.4,203.59,202.3,203.43
2013-02-15,203.5,203.79,202.6532,203.13
2013-02-19,203.39,204.49,203.3,204.44
2013-02-20,204.42,204.54,200.78,200.78
2013-02-21,200.8,201.26,198.1,199.02
2013-02-22,200.03,201.48,199.73,201.48
2013-02-25,201.99,202.06,196.88,196.88
2013-02-26,197.66,198.5,196.36,198.12
2013-02-27,198.23,201.6275,198.04,201
2013-02-28,200.72,202.23,200.51,200.51
2013-03-01,199.43,200.58,197.7,200.23
2013-03-04,199.77,200.79,198.85,200.75
2013-03-05,201.71,203.63,201.71,203.42
2013-03-06,203.83,204.4,203.29,203.78
2013-03-07,203.84,204.59,203.74,204.29
2013-03-08,205.54,206.2,204.15,206.11
2013-03-11,205.73,206.32,205.32,206.32
2013-03-12,206.07,206.53,205.35,206.25
2013-03-13,206.37,207.16,205.81,206.89
2013-03-14,207.4,208.49,207.18,208.49
2013-03-15,207.38,207.94,206.94,207.64
2013-03-18,205.76,207.78,205.62,206.64
2013-03-19,207.32,207.67,204.67,206.36
2013-03-20,207.6,208.61,207.07,208.5
2013-03-21,206.89,208.23,205.97,206.68
2013-03-22,207.39,207.6,206.81,207.37
2013-03-25,207.76,208.63,205.81,206.78
2013-03-26,207.7,208.21,206.92,208.16
2013-03-27,206.81,208.65,206.08,208.55
2013-03-28,208.58,210.08,208.34,209.72
2013-04-01,209.64,209.98,207.02,207.63
2013-04-02,208.7,208.97,206.34,206.78
2013-04-03,207.36,207.43,203.03,203.5
2013-04-04,203.74,204.84,203.44,204.7
2013-04-05,201.91,204.67,201.435,204.55
