,RWR.OPEN,RWR.HIGH,RWR.LOW,RWR.CLOSE
2011-10-28,64.59,65.44,64.46,65.39
2011-10-31,64.44,65.52,64.11,64.706
2011-11-01,63.06,63.98,62.28,62.43
2011-11-02,63.49,64.31,62.67,63.82
2011-11-03,64.56,64.79,62.89,64.68
2011-11-04,64.1,64.23,63.04,64.04
2011-11-07,64.1,64.86,63.3,64.2
2011-11-08,64.38,65.07,63.07,64.98
2011-11-09,63.42,63.79,61.83,61.95
2011-11-10,62.65,62.83,61.57,62.02
2011-11-11,62.69,63.83,62.47,63.68
2011-11-14,63.05,63.29,62.09,62.33
2011-11-15,62.28,63.36,61.89,62.93
2011-11-16,62.24,63.23,62.13,62.27
2011-11-17,62.18,62.23,60.74,61.02
2011-11-18,61.33,61.6,60.811,61.54
2011-11-21,60.5,60.6,59.56,59.9
2011-11-22,59.84,60.16,59.23,59.57
2011-11-23,58.98,59.18,57.79,57.79
2011-11-25,57.59,59.1624,57.59,58.19
2011-11-28,59.83,60.17,58.89,59.39
2011-11-29,59.65,59.67,58.92,59.23
2011-11-30,60.91,62.15,60.79,62.15
2011-12-01,61.84,61.9668,60.97,61.43
2011-12-02,61.87,62.6,61.49,61.55
2011-12-05,62.42,62.71,61.61,62.08
2011-12-06,62.11,62.3052,61.51,61.97
2011-12-07,61.6,62.83,61.31,62.71
2011-12-08,62.57,62.57,61.09,61.25
2011-12-09,61.65,62.8875,61.47,62.58
2011-12-12,62,62,60.89,61.35
2011-12-13,61.59,62.22,60.3507,60.76
2011-12-14,60.54,61.72,60.34,61.08
2011-12-15,61.58,62.32,61.46,61.99
2011-12-16,62.23,62.63,61.7,62.15
2011-12-19,62.15,62.52,61.4503,61.56
2011-12-20,62.56,63.56,62.29,63.49
2011-12-21,63.42,63.68,62.92,63.45
2011-12-22,63.54,64.73,63.43,64.39
2011-12-23,64.82,64.82,64.21,64.71
2011-12-27,64.6,65.39,64.3,65.02
2011-12-28,64.91,65.04,64.12,64.2
2011-12-29,64.37,64.86,64.19,64.68
2011-12-30,64.68,65.21,64.4,64.4
2012-01-03,65.72,66.29,64.4,64.97
2012-01-04,64.91,64.91,63.68,63.84
2012-01-05,63.7,64.58,63.35,64.54
2012-01-06,64.72,64.79,63.95,64.22
2012-01-09,64.25,64.38,63.8203,63.98
2012-01-10,64.76,65.12,64.7,64.81
2012-01-11,64.68,65.29,64.43,65.19
2012-01-12,65.29,65.31,64.3,64.7
2012-01-13,64.5,64.89,64.02,64.89
2012-01-17,65.44,65.85,65.143,65.4
2012-01-18,65.26,66.07,65.26,65.83
2012-01-19,66.09,66.34,65.76,66.16
2012-01-20,66.1,66.59,65.75,66.58
2012-01-23,66.75,67.072,66.4101,66.86
2012-01-24,66.5,67.36,66.35,67.31
2012-01-25,67.25,68.29,67.06,68.2
2012-01-26,68.46,69,68.46,68.64
2012-01-27,68.28,68.91,68.156,68.8
2012-01-30,68.25,68.37,67.83,68.096
2012-01-31,68.59,68.67,68.09,68.49
2012-02-01,69.14,69.27,68.84,69.17
2012-02-02,69.28,69.37,68.96,69.37
2012-02-03,70.25,70.5,69.69,70.39
2012-02-06,70.15,70.29,69.7,70.04
2012-02-07,69.95,70.17,69.77,69.97
2012-02-08,70.03,70.32,69.543,70.06
2012-02-09,70.19,70.21,69.12,69.47
2012-02-10,68.85,69.3,68.66,68.85
2012-02-13,69.42,69.74,69.2,69.68
2012-02-14,69.59,69.59,68.43,68.74
2012-02-15,68.92,69.07,68.24,68.51
2012-02-16,68.41,69.38,68.41,69.26
2012-02-17,69.31,69.4098,68.82,69.2534
2012-02-21,69.43,69.43,67.92,68.13
2012-02-22,68.07,68.388,67.53,67.56
2012-02-23,67.53,68.46,67.53,68.44
2012-02-24,68.52,68.734,68.05,68.52
2012-02-27,68,68.6,67.58,68.53
2012-02-28,68.56,68.64,67.788,67.99
2012-02-29,68.01,68.48,67.62,67.76
2012-03-01,67.84,68.27,67.77,68.18
2012-03-02,68.01,68.438,67.88,68.13
2012-03-05,68,68.78,67.76,68.76
2012-03-06,67.92,68.5,67.7457,67.82
2012-03-07,67.66,68.24,67.42,68.2
2012-03-08,68.4,68.47,67.66,67.87
2012-03-09,67.88,68.4105,67.776,68.19
2012-03-12,68.13,68.87,68.13,68.6
2012-03-13,69.04,70.19,69.01,70.04
2012-03-14,70.05,70.367,69.49,69.91
2012-03-15,70.04,70.06,69.57,69.82
2012-03-16,69.61,69.83,69.28,69.79
2012-03-19,69.83,70.64,69.51,70.32
2012-03-20,69.86,70.4358,69.81,70.2
2012-03-21,70.34,70.41,70.04,70.04
2012-03-22,69.62,69.62,68.68,69.11
2012-03-23,69.18,69.82,68.86,69.54
2012-03-26,70.15,70.44,69.8545,70.25
2012-03-27,70.39,70.75,70.21,70.34
2012-03-28,70.36,70.36,69.5,70.14
2012-03-29,69.79,70.29,69.39,70.23
2012-03-30,70.4,70.9999,70.4,70.83
2012-04-02,70.91,71.37,70.68,71.33
2012-04-03,71.2,71.38,70.76,71.04
2012-04-04,70.38,70.58,70,70.23
2012-04-05,70.14,70.32,69.736,69.99
2012-04-09,69.06,69.6,68.826,69.29
2012-04-10,69.11,69.4781,67.71,67.81
2012-04-11,68.4,68.66,68.08,68.65
2012-04-12,68.68,69.62,68.51,69.61
2012-04-13,69.56,69.72,69.06,69.28
2012-04-16,69.69,70.72,69.62,70.35
2012-04-17,70.77,71.18,70.16,70.92
2012-04-18,70.71,70.86,70.43,70.43
2012-04-19,70.38,70.84,70.0901,70.39
2012-04-20,70.88,71.57,70.6981,71.28
2012-04-23,70.55,70.81,70.06,70.54
2012-04-24,70.68,71.61,70.68,71.61
2012-04-25,72.24,72.46,71.9492,72.46
2012-04-26,72.29,72.769,72.01,72.65
2012-04-27,73.02,73.229,72.46,73.06
2012-04-30,73.02,73.06,72.43,72.98
2012-05-01,72.96,74.3,72.93,73.82
2012-05-02,73.5,73.83,72.98,73.72
2012-05-03,73.9,74,73.3303,73.41
2012-05-04,73.19,73.19,72.537,72.77
2012-05-07,72.66,73.45,72.5,73.23
2012-05-08,72.91,73.22,72.48,73.15
2012-05-09,72.5,73.43,72.32,72.9
2012-05-10,73.49,73.49,72.47,72.89
2012-05-11,72.67,73.34,72.36,73.15
2012-05-14,72.47,72.89,72.13,72.17
2012-05-15,72.19,72.2399,71.58,71.78
2012-05-16,72.1,72.13,70.84,70.91
2012-05-17,70.98,71,68.87,68.87
2012-05-18,69.31,69.3899,67.83,67.98
2012-05-21,68.02,69.66,68.01,69.51
2012-05-22,69.68,70.09,69.37,69.72
2012-05-23,69.18,69.94,68.59,69.83
2012-05-24,70.1,70.45,69.3,70.13
2012-05-25,70.22,70.4,69.58,69.82
2012-05-29,70.24,70.9,70.08,70.9
2012-05-30,70.39,70.4499,69.15,69.18
2012-05-31,69.14,70.19,68.51,69.63
2012-06-01,68.31,68.81,67.76,67.86
2012-06-04,67.88,68.03,66.93,67.38
2012-06-05,67.07,68.91,67.07,68.79
2012-06-06,69.14,70.25,69.01,70.24
2012-06-07,70.93,71.05,69.73,69.842
2012-06-08,69.8,70.82,69.69,70.82
2012-06-11,71.52,71.52,69.15,69.25
2012-06-12,69.58,69.91,68.92,69.86
2012-06-13,69.69,70.38,69.2,69.52
2012-06-14,69.66,70.75,69.52,70.55
2012-06-15,70.12,70.498,69.8,70.37
2012-06-18,70.19,71.36,70,70.98
2012-06-19,71.23,71.72,70.75,71.29
2012-06-20,71.34,71.5682,70.83,71.22
2012-06-21,71.46,71.46,69.9703,70.07
2012-06-22,70.33,70.53,69.601,70.06
2012-06-25,69.27,69.91,69.2,69.69
2012-06-26,69.87,70.3,69.5,69.97
2012-06-27,70.06,70.55,69.87,70.22
2012-06-28,69.96,70.95,69.55,70.94
2012-06-29,72.41,72.9,71.954,72.89
